,date,open,high,low,close,volume,pattern1,pattern2,pattern3,nasdaq
0,2020-01-30,2000,2010,2000,2000,1398788,K02,,,U01
1,2020-01-31,2005,2010,2000,2005,157791,K00,K00K00,,U03
2,2020-02-03,2005,2010,2000,2010,15144,K01,K00K01,S04K01,D04
3,2020-02-04,2005,2005,2000,2005,40900,K01,K00K01,S04K01,U04
4,2020-02-05,2005,2010,2005,2010,117604,K01,K00K01,S04K01,U04
5,2020-02-06,2005,2010,2005,2010,6953,K01,K00K01,S04K01,U04
6,2020-02-07,2010,2010,2005,2010,9913,K01,K00K01,S04K01,U04
7,2020-02-10,2010,2010,2005,2010,12990,K01,K00K01,S04K01,D04
8,2020-02-11,2005,2010,2005,2010,30196,K01,K00K01,S04K01,U04
9,2020-02-12,2005,2015,2005,2015,48817,K01,K00K01,S04K01,U02
10,2020-02-13,2010,2015,2010,2015,5002,K01,K00K01,S04K01,U04
11,2020-02-14,2015,2090,2015,2060,136002,P03,K00P03,S04P03,T01
12,2020-02-17,2075,2580,2035,2040,8866257,M05,P00M05,P10M05,T01
13,2020-02-18,2070,2070,2035,2035,665433,M00,M00M00,S03M00,U03
14,2020-02-19,2035,2045,2025,2035,290383,K00,M00K00,M10K00,T01
15,2020-02-20,2030,2075,2030,2030,140244,K02,K00K02,M10K02,U04
16,2020-02-21,2030,2045,2030,2045,43467,P00,K00P00,S04P00,D04
17,2020-02-24,2035,2050,2030,2040,97725,K00,P00K00,S04K00,D04
18,2020-02-25,2030,2045,2030,2040,47054,K00,K00K00,S04K00,D04
19,2020-02-26,2030,2040,2030,2040,12185,K01,K00K01,S04K01,D04
20,2020-02-27,2045,2045,2025,2035,77431,M01,K00M01,S04M01,U03
21,2020-02-28,2035,2080,2030,2045,46565,K00,M00K00,S04K00,D04
22,2020-03-02,2045,2080,2035,2060,90038,P05,K00P05,S04P05,T01
23,2020-03-03,2055,2055,2040,2050,11428,M02,P00M02,P10M02,U04
24,2020-03-04,2065,2065,2035,2045,31098,M01,M00M01,S04M01,D04
25,2020-03-05,2050,2050,2035,2045,26081,M02,M00M02,S04M02,U04
26,2020-03-06,2045,2050,2035,2050,15614,K01,M00K01,S04K01,D04
27,2020-03-09,2050,2050,2030,2045,59229,M02,K00M02,S04M02,D04
28,2020-03-10,2030,2040,2030,2030,14577,K02,M00K02,S04K02,D04
29,2020-03-11,2030,2040,2030,2030,24112,K02,K00K02,S04K02,U04
30,2020-03-12,2030,2035,2025,2030,39087,K00,K00K00,S04K00,D04
31,2020-03-13,2025,2025,2010,2020,92257,M02,K00M02,S04M02,D04
32,2020-03-16,2020,2025,2020,2025,31021,K01,M00K01,S04K01,U04
33,2020-03-17,2020,2020,2010,2020,54339,K01,K00K01,S04K01,D04
34,2020-03-18,2010,2020,2000,2000,13156,M03,K00M03,S04M03,U04
35,2020-03-19,2000,2000,1980,1985,89315,M01,M00M01,S04M01,D04
36,2020-03-20,2000,2000,1985,2000,10364,K01,M00K01,M10K01,U04
37,2020-03-23,1980,1995,1980,1995,5632,P00,K00P00,S04P00,D04
38,2020-03-24,2000,2000,1985,1995,16234,M02,P00M02,P10M02,T01
39,2020-03-25,1985,2000,1985,1995,38832,P03,M00P03,S03P03,U04
40,2020-03-26,1985,2000,1985,1995,10326,P03,P00P03,S04P03,D04
41,2020-03-27,2000,2005,1990,2000,10312,K00,P00K00,S04K00,U04
42,2020-03-30,2000,2005,1995,2005,530,K01,K00K01,S04K01,D04
43,2020-03-31,2000,2005,2000,2005,3329,K01,K00K01,S04K01,U04
44,2020-04-01,1995,2000,1990,1995,11597,K00,K00K00,S04K00,D04
45,2020-04-02,1995,1995,1990,1990,9100,M00,K00M00,S04M00,D04
46,2020-04-03,2000,2000,1995,2000,869,K01,M00K01,S04K01,U04
47,2020-04-06,1995,2000,1995,2000,2433,K01,K00K01,S04K01,D04
48,2020-04-07,2000,2005,1995,2005,28884,K01,K00K01,S04K01,U04
49,2020-04-08,2000,2005,2000,2005,7476,K01,K00K01,S04K01,D04
50,2020-04-09,2000,2010,2000,2005,3187,K00,K00K00,S04K00,U04
51,2020-04-10,2010,2010,2000,2000,2730,M00,K00M00,S04M00,U04
52,2020-04-13,2005,2010,1995,2010,8195,K01,M00K01,S04K01,U04
53,2020-04-14,1995,2015,1995,2010,5813,P03,K00P03,S04P03,U04
54,2020-04-16,2005,2010,2005,2010,2511,K01,P00K01,S04K01,D04
55,2020-04-17,2000,2015,2000,2015,3385,P00,K00P00,S04P00,U04
