,date,open,high,low,close,volume,pattern1,pattern2,pattern3,nasdaq
0,2020-05-21,7270,8600,6720,6770,922002,M05,,,U04
1,2020-05-22,7000,7140,6520,6800,190014,M05,M00M05,,D04
2,2020-05-25,6890,6890,6500,6580,95835,M01,M00M01,M10M01,D04
3,2020-05-26,6580,6600,6380,6520,54323,M05,M00M05,M10M05,U04
4,2020-05-27,6530,6700,6460,6620,80916,P05,M00P05,M10P05,U03
5,2020-05-28,6620,6810,6250,6440,80830,M05,P00M05,S01M05,U04
6,2020-05-29,6440,6450,6200,6250,38127,M05,M00M05,S07M05,D04
7,2020-06-01,6300,6310,6170,6230,31643,M05,M00M05,M10M05,U04
8,2020-06-02,6230,6330,6200,6320,50739,P05,M00P05,M10P05,U04
9,2020-06-03,6390,6390,6210,6310,42833,M01,P00M01,S02M01,U04
10,2020-06-04,6330,6340,6190,6220,80723,M05,M00M05,S03M05,U04
11,2020-06-05,6230,6320,6170,6320,23655,P01,M00P01,M10P01,D04
12,2020-06-08,6320,6340,6180,6260,40556,M05,P00M05,S01M05,U04
13,2020-06-09,6300,6920,6230,6530,172742,P05,M00P05,S03P05,U04
14,2020-06-10,6540,6560,6320,6350,60841,M05,P00M05,S01M05,U04
15,2020-06-11,6420,8250,6410,7810,2071836,P15,M00P15,S03P15,U04
16,2020-06-12,7210,7700,6620,7190,609713,M05,P10M05,S01M05,D04
17,2020-06-15,7390,7480,6370,6570,268084,M15,M00M15,S06M15,U04
18,2020-06-16,6670,6970,6610,6730,163589,P05,M10P05,M10P05,U04
19,2020-06-17,6550,7550,6530,7090,516809,P05,P00P05,S01P05,U04
20,2020-06-18,7010,7650,7010,7450,463286,P03,P00P03,P10P03,U02
21,2020-06-19,7750,7750,6520,6790,283372,M11,P00M11,P10M11,U04
22,2020-06-22,6800,6800,6370,6410,79579,M01,M10M01,S07M01,T01
23,2020-06-23,6500,6500,6230,6300,96035,M01,M00M01,M10M01,U04
24,2020-06-24,6390,6500,6300,6440,64640,P05,M00P05,M10P05,U04
25,2020-06-25,6420,6420,6200,6230,69259,M01,P00M01,S01M01,D04
26,2020-06-26,6260,6390,6230,6380,29195,P05,M00P05,S07P05,U04
27,2020-06-29,6300,6300,6130,6160,41921,M01,P00M01,S01M01,D04
28,2020-06-30,6190,6290,6170,6200,18275,K00,M00K00,S07K00,U04
29,2020-07-01,6200,7160,6200,6370,714057,P04,K00P04,S01P04,U04
30,2020-07-02,6500,6720,6360,6450,50297,M05,P00M05,P10M05,U04
31,2020-07-03,6420,6470,6330,6370,29619,M05,M00M05,S05M05,U04
32,2020-07-06,6370,6660,6320,6530,37292,P05,M00P05,M10P05,U04
33,2020-07-07,6650,6890,6510,6700,101206,P05,P00P05,S02P05,U04
34,2020-07-08,6750,6750,6550,6610,38061,M01,P00M01,P10M01,D04
35,2020-07-09,6660,6890,6610,6760,61068,P05,M00P05,S07P05,U04
36,2020-07-10,6760,6760,6470,6550,50030,M01,P00M01,S01M01,U04
37,2020-07-13,6550,6550,6390,6440,27662,M01,M00M01,S07M01,U04
38,2020-07-14,6450,6650,6260,6600,77622,P05,M00P05,M10P05,D04
39,2020-07-15,6850,8580,6600,8280,4361962,P15,P00P15,S01P15,U04
40,2020-07-16,7710,7960,7210,7450,999804,M05,P10M05,P10M05,U04
41,2020-07-17,7550,7940,7390,7450,810638,M05,M00M05,S06M05,D04
42,2020-07-20,7410,7470,7150,7340,203042,M05,M00M05,M10M05,U04
43,2020-07-21,7340,7350,7120,7200,137061,M05,M00M05,M10M05,U04
44,2020-07-22,7110,7720,7090,7360,467812,P05,M00P05,M10P05,D04
45,2020-07-23,7330,7580,7200,7320,161619,M05,P00M05,S02M05,U03
46,2020-07-24,7320,7400,7140,7180,105610,M05,M00M05,S06M05,D04
47,2020-07-27,7250,7320,7160,7240,65342,M05,M00M05,M10M05,D04
48,2020-07-28,7370,7810,7250,7320,447854,M05,M00M05,M10M05,U04
49,2020-07-29,7360,7530,7230,7270,121363,M05,M00M05,M10M05,D04
50,2020-07-30,7780,9400,7750,8170,2711416,P05,M00P05,M10P05,U04
51,2020-07-31,8210,8650,7900,8150,415338,M05,P00M05,S01M05,U04
52,2020-08-03,8440,8440,7900,8100,160289,M01,M00M01,S03M01,U04
53,2020-08-04,8050,8180,7860,8120,123299,P05,M00P05,M10P05,U04
54,2020-08-05,8150,8150,7840,7840,85651,M00,P00M00,S00M00,U04
55,2020-08-06,7780,7990,7700,7810,79541,K00,M00K00,S07K00,U04
56,2020-08-07,7900,7910,7640,7700,59810,M05,K00M05,S08M05,U04
57,2020-08-10,7570,7780,7500,7660,92487,P05,M00P05,S07P05,D04
58,2020-08-11,7710,8080,7710,7860,188310,P03,P00P03,S08P03,D04
59,2020-08-12,7810,7890,7630,7740,46611,M05,P00M05,P10M05,D04
60,2020-08-13,7690,7890,7690,7700,46293,K02,M00K02,S06K02,U04
61,2020-08-14,7700,7760,7590,7590,69638,M03,K00M03,S08M03,U03
62,2020-08-18,7520,7520,6990,7040,85775,M01,M00M01,S07M01,U04
63,2020-08-19,7060,7240,7040,7100,22025,P05,M00P05,M10P05,U04
64,2020-08-20,7160,7160,6550,6710,46681,M01,P00M01,S01M01,D04
65,2020-08-21,6800,7020,6650,6950,33612,P05,M00P05,S07P05,U04
66,2020-08-24,7000,7070,6830,7010,20130,K00,P00K00,S01K00,U04
67,2020-08-25,7080,7220,6980,7130,28125,P05,K00P05,P10P05,U04
68,2020-08-26,7250,7250,6970,6980,23524,M01,P00M01,P10M01,U04
69,2020-08-27,7000,7000,6760,6820,24979,M01,M00M01,S07M01,U04
70,2020-08-28,6820,6990,6750,6800,19923,M05,M00M05,M10M05,D04
71,2020-08-31,6850,6890,6720,6760,16839,M05,M00M05,M10M05,U04
72,2020-09-01,6820,6900,6790,6790,19946,M04,M00M04,M10M04,U04
73,2020-09-02,6910,7120,6800,7010,45223,P05,M00P05,M10P05,U04
74,2020-09-03,7080,7080,6960,6970,42255,M01,P00M01,S01M01,U04
75,2020-09-04,6800,7050,6790,6980,14622,P05,M00P05,S03P05,D04
76,2020-09-07,6980,7340,6980,7110,58315,P03,P00P03,S00P03,D04
77,2020-09-08,7400,7410,7200,7250,64695,M05,P00M05,P10M05,D04
78,2020-09-09,7150,7480,7060,7340,34138,P05,M00P05,S05P05,D04
79,2020-09-10,7440,7480,7360,7370,39891,M05,P00M05,S00M05,U04
80,2020-09-11,7430,7430,7280,7400,22289,M02,M00M02,S05M02,D04
81,2020-09-14,7490,7860,7450,7740,135591,P05,M00P05,S04P05,D04
82,2020-09-15,7840,7840,7500,7730,80210,M02,P00M02,S01M02,U04
83,2020-09-16,7820,7820,7500,7520,40547,M01,M00M01,S03M01,U04
84,2020-09-17,7520,7900,7350,7630,131717,P05,M00P05,M10P05,D04
85,2020-09-18,7680,8050,7640,7670,191408,M05,P00M05,S00M05,D04
86,2020-09-21,7670,7690,7200,7330,57348,M05,M00M05,S05M05,D04
87,2020-09-22,7300,7330,7000,7070,56516,M05,M00M05,M10M05,T01
88,2020-09-23,7170,7250,7000,7090,29744,M05,M00M05,M10M05,U04
89,2020-09-24,7050,7050,6850,6950,33033,M01,M00M01,M10M01,D04
90,2020-09-25,7040,7060,6860,7050,26376,K01,M00K01,M10K01,U04
91,2020-09-28,7100,7250,7050,7250,27437,P01,K00P01,S01P01,U04
92,2020-09-29,7300,7390,7220,7280,14512,M05,P00M05,P10M05,U04
93,2020-10-05,7300,7400,7230,7340,18544,P05,M00P05,S05P05,D04
94,2020-10-06,7420,7420,7230,7300,13375,M01,P00M01,S04M01,U04
95,2020-10-07,7340,7340,7210,7220,6588,M01,M00M01,S07M01,D04
96,2020-10-08,7350,7370,7160,7250,11205,M05,M00M05,M10M05,U04
97,2020-10-12,7250,7290,7210,7270,25877,K00,M00K00,M10K00,U04
98,2020-10-13,7280,7320,7220,7320,16101,P01,K00P01,S00P01,U04
99,2020-10-14,7300,7530,7240,7370,49200,P05,P00P05,S04P05,T01
100,2020-10-15,7450,7450,7220,7430,58577,M02,P00M02,P10M02,D04
101,2020-10-16,7350,7550,7200,7230,74705,M05,M00M05,S05M05,D04
102,2020-10-19,7260,7320,7210,7250,13347,M05,M00M05,M10M05,D04
103,2020-10-20,7210,7300,7100,7280,23949,P05,M00P05,M10P05,D04
104,2020-10-21,7300,7650,7200,7530,91429,P05,P00P05,S04P05,U04
105,2020-10-22,7530,9250,7410,8300,3276566,P15,P00P15,P10P15,D04
106,2020-10-23,8780,10650,8550,9950,3510027,P15,P10P15,P10P15,U03
107,2020-10-26,9640,9800,7910,8000,1290615,M15,P10M15,P10M15,U04
108,2020-10-27,7890,9470,7530,8770,2979615,P15,M10P15,S07P15,D04
