,date,open,high,low,close,volume,pattern1
0,2017-10-26,25000,32500,25000,32500,4407441,P10
1,2017-10-27,36700,37400,25450,26700,3186825,M15
2,2017-10-30,25950,26200,22500,22850,892610,M15
3,2017-10-31,22800,23950,21550,22150,695214,M05
4,2017-11-01,22800,22800,21350,21900,455201,M01
5,2017-11-02,21900,22650,21750,22000,277220,K00
6,2017-11-03,21900,22150,20600,20800,309904,M05
7,2017-11-06,20450,20600,19750,20100,219165,M05
8,2017-11-07,20250,20600,20050,20150,139084,M05
9,2017-11-08,20300,25200,20300,23350,2060858,P13
10,2017-11-09,22750,23100,22200,22950,379861,P05
11,2017-11-10,23100,23600,22350,22700,307940,M05
12,2017-11-13,22700,22800,21550,21850,226412,M05
13,2017-11-14,22000,22150,21000,21350,163601,M05
14,2017-11-15,21550,21850,20200,20400,204807,M05
15,2017-11-16,20400,21950,20400,21050,273359,P03
16,2017-11-17,21100,25100,21100,22200,1695494,P04
17,2017-11-20,22350,23100,22000,22500,280375,P05
18,2017-11-21,22250,22400,21250,21250,247505,M03
19,2017-11-22,21400,22200,20700,22100,191123,P05
20,2017-11-23,22750,26650,22500,23700,2732841,P05
21,2017-11-24,23850,25200,23350,23700,642588,M05
22,2017-11-27,23700,24800,23550,24800,295401,P01
23,2017-11-28,25450,25500,23450,23450,372433,M03
24,2017-11-29,23400,23650,22650,23050,171294,M05
25,2017-11-30,23100,23700,22100,22350,175032,M05
26,2017-12-01,22000,22700,22000,22500,131257,P03
27,2017-12-04,22750,22750,21150,21400,140786,M01
28,2017-12-05,21250,21850,21000,21350,93804,K00
29,2017-12-06,21550,22350,21300,22000,157553,P05
30,2017-12-07,21800,22200,20950,20950,122193,M03
31,2017-12-08,21000,21300,20000,20250,120989,M05
32,2017-12-11,20350,20700,19550,19950,81551,M05
33,2017-12-12,19950,20600,19750,20100,73118,P05
34,2017-12-13,20150,20500,19850,20250,64079,K00
35,2017-12-14,20350,20450,19900,20000,59224,M05
36,2017-12-15,20000,20100,19500,19550,81127,M05
37,2017-12-18,19550,19700,18600,18600,168754,M03
38,2017-12-19,18750,18750,17550,18250,180271,M01
39,2017-12-20,18500,18500,17700,17700,62455,M00
40,2017-12-21,17500,17650,16950,16950,80505,M03
41,2017-12-22,16950,17350,16600,17050,58445,P05
42,2017-12-26,17100,17300,16750,16850,40097,M05
43,2017-12-27,17100,17750,16850,17700,50694,P05
44,2017-12-28,17500,18000,17500,17800,43436,P03
45,2018-01-02,18100,18100,17800,18000,41001,M02
46,2018-01-03,18000,18600,17800,18450,88607,P05
47,2018-01-04,18700,18700,17850,17950,46073,M01
48,2018-01-05,17800,18350,17700,18350,52610,P01
49,2018-01-08,18300,18450,18000,18250,38091,M05
50,2018-01-09,18050,18650,17950,18350,58120,P05
