,date,open,high,low,close,volume,pattern1
0,2017-12-26,3810,4600,3205,3390,17958804,M15
1,2017-12-27,3350,4405,3240,4405,8029712,P11
2,2017-12-28,4700,4800,3645,3645,10312624,M13
3,2018-01-02,3750,4330,3730,4070,11198445,P05
4,2018-01-03,4015,4285,3965,4090,4347780,P05
5,2018-01-04,4195,4250,4015,4015,1853464,M03
6,2018-01-05,4015,4145,3845,3895,1336801,M05
7,2018-01-08,3945,3975,3750,3830,792248,M05
8,2018-01-09,3840,3920,3745,3745,853505,M03
9,2018-01-10,3740,3810,3615,3695,667964,M05
10,2018-01-11,3655,4090,3650,3890,2129073,P05
11,2018-01-12,3855,3895,3765,3805,620599,M05
12,2018-01-15,3800,3850,3635,3695,447602,M05
13,2018-01-16,3695,4060,3695,3805,1488466,P04
14,2018-01-17,3800,3980,3765,3860,832155,P05
15,2018-01-18,3910,4200,3885,4050,3108825,P05
16,2018-01-19,4140,4150,4000,4035,789452,M05
17,2018-01-22,4040,4065,3930,3955,398948,M05
18,2018-01-23,3960,4200,3955,4140,1124802,P05
19,2018-01-24,4125,4180,4065,4100,561340,M05
20,2018-01-25,4100,4100,4005,4080,349298,M02
21,2018-01-26,4120,4320,4095,4190,1123038,P05
22,2018-01-29,4215,4270,4100,4115,521381,M05
23,2018-01-30,4070,4120,3985,3995,615720,M05
24,2018-01-31,3960,4025,3775,3835,501065,M05
25,2018-02-01,3915,3915,3825,3835,198223,M01
26,2018-02-02,3900,4225,3900,3950,1649090,P04
27,2018-02-05,3850,3860,3710,3795,406666,M05
28,2018-02-06,3650,3835,3615,3835,324308,P01
29,2018-02-07,3950,4200,3840,3840,930527,M04
30,2018-02-08,3915,4100,3870,4010,500247,P05
31,2018-02-09,3935,4125,3900,3965,426708,P05
32,2018-02-12,4050,4110,3995,4045,387736,M05
33,2018-02-13,4060,4145,4005,4010,371454,M05
34,2018-02-14,4030,4055,3900,3900,264917,M03
35,2018-02-19,3930,4000,3900,3905,219888,M05
36,2018-02-20,3935,3935,3830,3865,256811,M01
37,2018-02-21,3880,3915,3845,3880,139336,K00
38,2018-02-22,3885,3960,3830,3840,125446,M05
39,2018-02-23,3890,3890,3820,3845,77180,M01
40,2018-02-26,3845,3885,3780,3800,160504,M05
41,2018-02-27,3810,3835,3740,3745,172917,M05
42,2018-02-28,3770,3770,3680,3690,182464,M01
43,2018-03-02,3625,3770,3625,3700,179822,P03
44,2018-03-05,3960,3960,3715,3720,369476,M01
45,2018-03-06,3785,3785,3690,3720,72464,M01
46,2018-03-07,3705,3740,3665,3665,93969,M03
47,2018-03-08,3665,3680,3580,3600,142969,M05
48,2018-03-09,3570,3640,3570,3570,105427,K02
49,2018-03-12,3620,3635,3595,3595,97841,M03
50,2018-03-13,3620,3625,3530,3535,161630,M05
51,2018-03-14,3535,3575,3505,3545,128005,K00
52,2018-03-15,3560,3625,3540,3595,141764,P05
53,2018-03-16,3605,3655,3585,3610,127107,K00
54,2018-03-19,3610,3690,3550,3575,106762,M05
55,2018-03-20,3555,3585,3520,3540,108369,M05
56,2018-03-21,3540,3540,3445,3445,213425,M00
57,2018-03-22,3455,3495,3365,3365,154598,M03
58,2018-03-23,3340,3370,3145,3190,196794,M05
59,2018-03-26,3190,3260,3090,3255,214255,P05
60,2018-03-27,3270,3335,3265,3300,44863,P05
61,2018-03-28,3295,3330,3220,3225,67870,M05
62,2018-03-29,3240,3290,3170,3190,76442,M05
63,2018-03-30,3190,3280,3190,3245,61168,P03
64,2018-04-02,3295,3310,3245,3255,68834,M05
65,2018-04-03,3255,3275,3200,3235,52218,M05
66,2018-04-04,3270,3270,3175,3180,54766,M01
67,2018-04-05,3155,3210,3155,3165,84094,K02
68,2018-04-06,3165,3300,3155,3215,87738,P05
69,2018-04-09,3215,3300,3170,3180,75384,M05
70,2018-04-10,3190,3270,3170,3265,95919,P05
71,2018-04-11,3265,4180,3240,3855,6457139,P15
72,2018-04-12,3800,3855,3550,3605,1223774,M05
73,2018-04-13,3710,3745,3500,3500,1145743,M03
74,2018-04-16,3565,3665,3540,3620,567178,P05
75,2018-04-17,3665,3675,3555,3600,373192,M05
76,2018-04-18,3625,3730,3520,3620,510309,M05
77,2018-04-19,3650,3780,3600,3780,626650,P01
78,2018-04-20,3780,3800,3650,3750,409703,M05
79,2018-04-23,3720,3890,3720,3760,665516,P04
80,2018-04-24,3770,3880,3710,3765,513141,M05
81,2018-04-25,3790,3790,3670,3715,159693,M01
82,2018-04-26,3725,3820,3710,3780,207923,P05
83,2018-04-27,3815,3820,3730,3735,149311,M05
84,2018-04-30,3800,3810,3645,3650,186527,M05
85,2018-05-02,3630,3780,3565,3730,255265,P05
86,2018-05-03,3695,3850,3640,3725,156069,P05
87,2018-05-04,3755,3780,3685,3735,116038,M05
88,2018-05-08,3760,3875,3715,3715,328798,M04
89,2018-05-09,3740,3845,3700,3795,426050,P05
90,2018-05-10,3810,3845,3705,3795,253458,M05
91,2018-05-11,3800,3865,3770,3775,172612,M05
