날짜,시가,고가,저가,종가,거래량
2018-01-05,111000,114000,93500,107500,1282241
2018-01-08,109000,109000,99800,101000,533640
2018-01-09,102500,119500,101500,116000,782363
2018-01-10,116000,121000,112000,114000,357741
2018-01-11,114500,118000,112000,114000,194223
2018-01-12,114000,120500,109000,118500,363991
2018-01-15,119500,128500,119000,122000,466797
2018-01-16,122000,122000,118000,120000,183784
2018-01-17,120500,120500,112000,112500,226037
2018-01-18,114500,115000,110500,111500,145401
2018-01-19,111500,115000,111000,111000,109899
2018-01-22,110500,111000,107500,109500,111714
2018-01-23,110500,113500,109000,111000,99852
2018-01-24,111500,116000,111500,115000,135157
2018-01-25,116000,116000,113500,115000,80543
2018-01-26,115000,116000,111500,112500,113248
2018-01-29,113000,113000,111000,112000,102780
2018-01-30,112000,117000,112000,115500,199075
2018-01-31,114500,117000,113000,115000,144616
2018-02-01,115500,116500,112000,112000,103975
2018-02-02,112500,113500,108000,109000,124931
2018-02-05,106000,107500,101500,102500,135075
2018-02-06,98200,103500,95900,101500,189357
2018-02-07,104000,104000,99100,99200,127611
2018-02-08,99000,101500,98200,100000,116615
2018-02-09,97400,102000,96500,100500,110042
2018-02-12,98800,103000,98700,103000,173351
2018-02-13,115000,116500,105500,107000,593574
2018-02-14,107500,109500,103000,105000,154019
2018-02-19,109000,111000,108000,109500,118500
2018-02-20,109000,113000,108500,109500,108680
2018-02-21,110500,114000,109000,113000,121214
2018-02-22,112500,113000,110500,111000,71123
2018-02-23,112000,113500,111500,113500,97859
2018-02-26,113500,114000,109000,110000,152544
2018-02-27,110500,111500,107500,109000,90543
2018-02-28,108000,110000,107500,109000,72980
2018-03-02,107000,108000,105500,106500,83506
2018-03-05,106000,107000,104000,104500,78837
2018-03-06,106000,107000,104500,105000,77860
2018-03-07,105000,107500,104500,106000,64705
2018-03-08,107000,109500,106000,109000,76117
2018-03-09,109000,110000,108000,109000,64150
2018-03-12,110000,110000,108500,109500,72719
2018-03-13,109500,110500,107500,110500,76070
2018-03-14,109500,113000,109000,113000,98613
2018-03-15,113500,113500,110500,112000,67977
2018-03-16,112000,113000,110500,110500,49876
2018-03-19,111500,112000,110000,110500,49270
2018-03-20,109500,110000,106500,108000,60742
2018-03-21,109000,110000,108000,109000,35565
2018-03-22,109500,112500,108000,110500,93634
2018-03-23,107000,109000,105000,105000,89177
2018-03-26,105000,106000,102000,105000,60400
2018-03-27,105500,106500,104500,104500,81406
2018-03-28,103500,105000,100000,102000,89430
2018-03-29,102000,104500,101500,104000,44056
2018-03-30,105000,106000,103000,105000,50924
2018-04-02,104500,106000,102500,103500,76457
2018-04-03,101500,105500,101000,104000,54521
2018-04-04,104000,104500,102000,103000,78363
2018-04-05,103000,103500,101000,101500,82746
2018-04-06,101000,102000,100000,101500,80591
2018-04-09,101500,106000,101000,105000,83602
2018-04-10,104500,105000,103000,104500,49140
2018-04-11,104000,108000,104000,107000,78226
2018-04-12,107500,108000,105500,106500,54421
2018-04-13,106500,108500,105000,106500,71812
2018-04-16,107500,108000,106000,107000,41916
2018-04-17,106500,107500,103500,106000,65185
2018-04-18,105500,106500,102000,103500,91136
2018-04-19,102500,105000,102000,102500,66462
2018-04-20,102500,105000,102000,103000,75442
2018-04-23,103000,106000,102500,106000,56555
2018-04-24,106500,107000,104500,105000,40750
2018-04-25,104500,105500,104000,105000,41404
2018-04-26,105000,106000,104000,105000,45262
2018-04-27,105000,105500,102500,102500,48015
2018-04-30,103000,103500,100500,101500,86514
2018-05-02,100500,102500,99900,100500,100477
2018-05-03,103000,103500,101500,102500,64667
2018-05-04,102000,102000,100000,100500,64546
2018-05-08,100500,101500,98700,98700,91451
2018-05-09,98700,100000,98300,98400,56194
2018-05-10,98500,98700,97200,97700,69960
2018-05-11,97900,99400,97500,98100,56197
2018-05-14,99000,99200,98000,98000,35015
2018-05-15,98200,98500,95600,96700,74353
2018-05-16,96600,97600,95300,96600,52982
2018-05-17,96700,96800,94300,94500,71786
2018-05-18,95000,95800,92000,93800,112617
2018-05-21,94200,94500,91500,91900,122133
2018-05-23,91500,93700,90000,90200,127614
2018-05-24,90500,90900,87700,87900,131400
2018-05-25,87300,88200,84200,84500,175719
2018-05-28,84500,86000,81300,85100,199932
2018-05-29,85100,89600,84600,88600,155374
2018-05-30,87900,89000,86400,87300,73102
2018-05-31,87300,88900,86900,88900,68285
2018-06-01,89000,89000,87200,88100,36261
2018-06-04,87500,87900,85000,85700,72526
2018-06-05,85400,87500,85400,86400,66787
2018-06-07,86800,88200,86300,88000,50018
2018-06-08,88300,90600,88300,88700,70788
2018-06-11,89500,90000,89200,89700,44843
2018-06-12,89800,90900,88600,90100,58221
2018-06-14,90600,92700,90100,91100,105211
2018-06-15,91600,96300,91000,96300,212308
2018-06-18,96600,96700,91400,93000,98363
2018-06-19,92900,92900,88300,88700,91730
2018-06-20,89200,92500,89000,92000,49810
2018-06-21,91700,94100,91500,92300,51329
2018-06-22,91200,93200,90100,93000,48947
2018-06-25,93000,93900,91300,92300,34462
2018-06-26,90400,94500,90400,92700,62335
2018-06-27,92700,93400,91200,91800,28833
2018-06-28,91800,93500,90600,92800,43259
2018-06-29,92000,93600,90900,92900,245794
2018-07-02,93100,94900,92200,92500,68733
2018-07-03,92800,93300,90900,91500,48221
2018-07-04,90700,94200,90700,92200,50322
2018-07-05,92000,92900,90200,90600,28387
2018-07-06,90600,93800,90200,93800,55735
2018-07-09,93000,94000,92400,92900,21088
2018-07-10,92600,94200,92600,93300,35592
2018-07-11,92200,94200,92100,94000,32386
2018-07-12,94400,94600,93500,94000,31565
2018-07-13,94000,96000,94000,95100,45814
2018-07-16,95200,96800,94300,94400,43834
2018-07-17,94400,95500,94300,94400,46270
2018-07-18,94400,95300,93800,94200,30072
2018-07-19,94000,94700,93000,93200,34627
2018-07-20,93200,93200,91100,92400,33556
2018-07-23,93200,93200,89500,89900,48385
2018-07-24,90300,91100,89900,90400,23167
2018-07-25,89300,90200,86500,87600,76027
2018-07-26,87300,89700,86700,88400,37844
2018-07-27,88500,89000,87600,88100,31826
2018-07-30,88000,88100,86700,87100,33784
2018-07-31,87600,90000,87100,89700,38388
2018-08-01,90100,91600,90000,90100,22477
2018-08-02,89800,90800,88100,88400,18692
2018-08-03,88600,90000,88100,88800,20475
2018-08-06,89000,90500,88900,90000,25749
2018-08-07,89500,90000,88500,89000,30090
2018-08-08,88600,89900,87800,88200,29638
2018-08-09,88300,88900,87300,87500,34864
2018-08-10,87400,88500,87200,88000,29755
2018-08-13,87600,88000,83400,85500,59983
2018-08-14,84500,85300,83100,84400,59183
2018-08-16,84300,84900,82000,82600,63264
2018-08-17,82300,83200,81700,82000,61555
2018-08-20,82100,82700,80100,81300,68620
2018-08-21,81200,83100,80900,82500,55132
2018-08-22,82500,82700,80100,80500,85857
2018-08-23,81200,81300,79500,79800,67654
2018-08-24,80500,82300,79800,81800,63613
2018-08-27,82400,82500,81500,82400,45642
2018-08-28,82600,82900,82100,82600,29050
2018-08-29,82200,85600,82200,85200,53532
2018-08-30,85200,87000,84200,86000,57420
2018-08-31,86000,87600,85100,86600,56777
2018-09-03,87200,88400,86500,86700,65081
2018-09-04,86800,88300,86800,88100,45470
2018-09-05,88200,89200,87700,87800,44413
2018-09-06,88000,89300,88000,89000,43615
2018-09-07,89400,90100,88200,90000,43401
2018-09-10,90000,91000,89500,90700,37223
2018-09-11,90000,90000,88000,88800,56866
2018-09-12,89900,89900,86500,88400,51954
2018-09-13,89000,89000,86700,87100,40430
2018-09-14,86600,87600,86300,86600,28226
2018-09-17,86600,87700,86000,86200,26521
2018-09-18,85800,86000,83600,84100,60838
2018-09-19,84100,84100,82200,82500,58072
2018-09-20,82500,84100,82000,82800,47162
2018-09-21,84200,86200,83700,84400,70154
2018-09-27,84800,86000,84700,85200,31796
2018-09-28,85900,86000,85100,85200,21436
2018-10-01,86000,86200,84300,85000,25687
2018-10-02,84700,86200,83800,84100,29502
2018-10-04,84400,84400,80900,80900,43360
2018-10-05,80600,81300,78400,80000,48961
2018-10-08,79500,80400,77600,77600,66894
2018-10-10,77500,78300,72500,73200,114986
2018-10-11,70000,73900,70000,72200,82679
2018-10-12,73400,73900,71500,72000,35101
2018-10-15,71600,72900,71600,71700,21846
2018-10-16,71300,72600,69900,70600,36731
2018-10-17,71300,71900,70900,71700,24505
2018-10-18,71700,71800,70000,70600,19012
2018-10-19,70300,70400,68900,69800,44664
2018-10-22,69600,69700,65800,67500,135278
2018-10-23,67500,68400,64600,65500,65936
2018-10-24,66400,66800,65500,66400,48390
2018-10-25,65100,66100,63200,65700,37265
2018-10-26,66000,66800,62000,63500,46519
2018-10-29,62800,64000,57300,58000,135853
2018-10-30,57900,60700,57400,60200,60286
2018-10-31,60200,60700,58500,60400,37383
2018-11-01,60600,62900,60200,60800,36257
2018-11-02,60800,64600,60800,64500,55085
2018-11-05,65700,66800,64000,65000,52863
2018-11-06,66100,66700,65000,66300,47493
2018-11-07,66300,67200,64400,64600,60230
2018-11-08,66200,72200,65200,70000,138227
2018-11-09,70000,73800,69300,72700,106966
2018-11-12,72000,72700,70000,70900,50891
2018-11-13,70000,70900,69000,70200,51369
2018-11-14,73200,73200,69200,69900,24041
2018-11-15,69300,70800,69200,70600,17308
2018-11-16,70700,71100,69600,70700,15242
2018-11-19,70800,71800,69700,71600,36480
2018-11-20,71000,72800,69000,72800,53953
2018-11-21,72400,79200,71100,77800,151742
2018-11-22,78000,79600,76400,79100,59587
2018-11-23,78600,79900,77500,78500,40293
2018-11-26,78000,80000,78000,79800,48719
2018-11-27,79400,79800,77900,78600,21169
2018-11-28,79400,80000,78200,78800,25092
2018-11-29,79200,79800,76500,78000,42422
2018-11-30,78000,78400,76800,77700,36732
2018-12-03,78700,79000,77700,78400,36215
2018-12-04,77700,78400,75500,76600,57151
2018-12-05,75200,77100,74700,75300,39761
2018-12-06,76000,76000,73600,73800,34175
2018-12-07,73800,74900,71400,72500,39524
2018-12-10,71500,73000,71300,72200,30170
2018-12-11,72500,72900,69900,69900,38404
2018-12-12,70700,73700,70200,73100,47003
2018-12-13,73300,75500,72200,73600,82390
2018-12-14,73200,74000,70600,71300,31857
2018-12-17,70400,72500,70400,71700,19121
2018-12-18,71100,72600,70100,70700,29286
2018-12-19,70700,74500,70300,73100,33265
2018-12-20,73800,73800,71800,72500,17425
2018-12-21,71900,73200,71000,72100,22740
2018-12-24,72100,72100,70600,71300,17347
2018-12-26,70400,71200,68800,70500,33061
2018-12-27,70500,72100,69300,69800,21084
2018-12-28,69500,71000,69500,70000,20249
2019-01-02,69900,70300,69000,69700,19298
2019-01-03,69900,70400,68800,69100,21960
2019-01-04,69200,69700,66300,66500,66201
