날짜,시가,고가,저가,종가,거래량
2018-02-12,18100,23500,18100,23500,10295780
2018-02-13,24500,30550,24350,30550,9902922
2018-02-14,32600,33350,25250,25600,8175204
2018-02-19,27000,29300,26000,26800,3826265
2018-02-20,27500,27550,24550,25050,1909147
2018-02-21,24950,25550,24000,24850,997482
2018-02-22,24400,24550,23050,23650,807686
2018-02-23,23950,24200,22650,23150,869027
2018-02-26,23400,23450,22050,22200,631965
2018-02-27,23000,27600,22450,24700,5948633
2018-02-28,24250,24300,22500,22600,916755
2018-03-02,21950,22100,20750,21500,661267
2018-03-05,21100,23200,21000,21700,841949
2018-03-06,21850,22550,21450,21750,353367
2018-03-07,21750,21750,20100,20100,331975
2018-03-08,20100,21900,20000,20500,526988
2018-03-09,20700,21250,20200,20300,219570
2018-03-12,20600,21000,20400,20800,223008
2018-03-13,21000,21300,20350,20450,663229
2018-03-14,21700,23850,20900,20900,2382819
2018-03-15,20950,21600,20350,21400,528482
2018-03-16,21650,22000,21000,21450,489577
2018-03-19,21450,22200,21350,21950,509019
2018-03-20,21650,23300,21600,23200,964751
2018-03-21,24350,24550,22300,22300,837187
2018-03-22,22400,23500,22000,22450,613147
2018-03-23,21450,21750,20500,20650,381319
2018-03-26,20450,21000,20050,20750,243159
2018-03-27,21000,21550,20950,21150,196944
2018-03-28,21200,23200,21100,22150,676775
2018-03-29,22200,23800,21750,22200,716067
2018-03-30,22800,23400,22200,22250,359635
2018-04-02,22250,22700,21200,21800,493094
2018-04-03,21300,21800,21200,21600,155811
2018-04-04,21850,22250,21200,21400,168286
2018-04-05,21600,22000,21200,21250,218761
2018-04-06,21150,21450,20650,20700,184903
2018-04-09,20450,21300,20400,21150,209046
2018-04-10,21150,21300,20400,20900,158765
2018-04-11,22000,23750,21950,22000,1609785
2018-04-12,22250,22750,21200,21400,395088
2018-04-13,21600,22400,21200,21900,260001
2018-04-16,21850,22750,21650,22600,380670
2018-04-17,22700,22800,22150,22600,236422
2018-04-18,22800,22850,21700,21700,207974
2018-04-19,21750,21750,20500,20600,282288
2018-04-20,20850,21100,20550,20900,117104
2018-04-23,20800,20900,20000,20000,172859
2018-04-24,19850,20250,19050,19100,273930
2018-04-25,19050,19300,18550,18750,126209
2018-04-26,18950,19450,18950,19100,73626
2018-04-27,19400,19550,18900,19000,49282
2018-04-30,18900,18900,17400,17650,202867
2018-05-02,17150,18150,16550,18000,191777
2018-05-03,17800,18200,17700,18000,58119
2018-05-04,18000,18150,17000,17000,106681
2018-05-08,17200,17400,15950,15950,143799
2018-05-09,16050,16500,15500,16500,107316
2018-05-10,16600,16600,16000,16550,64430
2018-05-11,16600,17100,16450,17100,78814
2018-05-14,17400,17400,16700,17000,57702
2018-05-15,17050,17200,16300,16500,67831
2018-05-16,17250,21000,17200,18000,1541979
2018-05-17,18100,18450,17300,17300,247504
2018-05-18,17700,19950,17700,18750,592017
2018-05-21,18550,19100,18500,18800,134485
2018-05-23,19100,19150,18300,18400,103079
2018-05-24,18150,18550,17950,18100,82761
