날짜,시가,고가,저가,종가,거래량
2015-03-27,21150,23650,20849,21550,722715
2015-03-30,21400,22400,20750,22200,154125
2015-03-31,22500,24700,22450,24600,261776
2015-04-01,24500,25250,23600,24900,102600
2015-04-02,24900,24900,23600,24250,56971
2015-04-03,24400,25450,23850,25050,53453
2015-04-06,25000,25400,24800,24800,22238
2015-04-07,25000,25000,23600,24500,40107
2015-04-08,24500,24500,23700,23700,36081
2015-04-09,23400,23750,22750,22900,44267
2015-04-10,22799,23100,21950,22600,55835
2015-04-13,22400,23200,21850,22800,65735
2015-04-14,23100,24350,22750,24300,54336
2015-04-15,24399,25100,23950,25000,61624
2015-04-16,24750,25100,24200,24600,25453
2015-04-17,24600,24600,23749,24000,32417
2015-04-20,23600,24850,23350,24800,27796
2015-04-21,24900,24900,24250,24500,10465
2015-04-22,24650,24650,22500,23650,21404
2015-04-23,23600,24400,22000,23700,93551
2015-04-24,23700,23850,23000,23450,35300
2015-04-27,23450,23500,22700,22900,44755
2015-04-28,23300,23550,22900,23500,16157
2015-04-29,23349,23700,23150,23250,10212
2015-04-30,23450,23500,22600,22600,15495
2015-05-04,22850,22950,22000,22700,19255
2015-05-06,22600,22600,21850,22550,24001
2015-05-07,22400,22500,21700,22050,22712
2015-05-08,22400,23650,22200,23450,27026
2015-05-11,23700,23700,22699,23250,11968
2015-05-12,23050,23500,23000,23500,10922
2015-05-13,23350,23950,23299,23750,22086
2015-05-14,23950,26900,23850,26500,86824
2015-05-15,26600,26650,25850,26100,31957
2015-05-18,26100,26350,25600,26300,13517
2015-05-19,26250,26300,24900,24900,24716
2015-05-20,24900,25250,24450,24900,23418
2015-05-21,24650,24950,23700,24150,21756
2015-05-22,24000,24250,22850,23300,49137
2015-05-26,23250,23500,22850,23200,11692
2015-05-27,23150,23300,22550,23250,15957
2015-05-28,23500,23800,23049,23150,16922
2015-05-29,23100,23700,23050,23500,8013
2015-06-01,23299,23450,23050,23200,4302
2015-06-02,23050,23399,22599,22800,14292
2015-06-03,22850,23450,22700,22750,15948
2015-06-04,22800,23149,22450,23050,6767
2015-06-05,22900,23100,22150,22550,13449
2015-06-08,22549,23150,22500,22550,12426
2015-06-09,22450,22650,22100,22300,9145
2015-06-10,22250,22400,21800,22100,12525
2015-06-11,22150,22300,21400,22100,14954
2015-06-12,21400,22100,21400,21600,11022
2015-06-15,21400,21550,20150,20800,33736
2015-06-16,21000,21050,20250,20350,13837
2015-06-17,20350,20600,19500,19900,28920
2015-06-18,20050,20050,19500,19550,18196
2015-06-19,19700,19850,19400,19850,12181
2015-06-22,19600,19900,19050,19050,30214
