날짜,시가,고가,저가,종가,거래량
2015-12-17,2043,2656,2037,2111,14131371
2015-12-18,2160,2167,1916,1937,2625789
2015-12-21,1892,1896,1670,1683,1440507
2015-12-22,1699,1736,1607,1645,741838
2015-12-23,1630,1663,1508,1577,622980
2015-12-24,1672,2047,1665,1756,7018599
2015-12-28,1706,1722,1631,1651,803932
2015-12-29,1672,1936,1669,1699,1530988
2015-12-30,1726,1819,1699,1756,490790
2016-01-04,1756,1762,1675,1719,279662
2016-01-05,1736,2234,1736,2235,7889545
2016-01-06,2385,2495,2053,2205,6481285
2016-01-07,2254,2551,2194,2298,5907645
2016-01-08,2234,2488,2167,2375,3732107
2016-01-11,2572,2636,2224,2242,3300509
2016-01-12,2341,2358,2107,2155,995988
2016-01-13,2190,2441,2144,2322,2890781
2016-01-14,2237,2508,2194,2509,2495250
2016-01-15,2461,2541,2385,2486,1509236
2016-01-18,2458,2793,2428,2733,3110779
2016-01-19,2669,2843,2632,2763,1698286
2016-01-20,2702,2719,2511,2519,1122633
2016-01-21,2488,2515,2331,2342,838260
2016-01-22,2368,2425,2264,2322,430277
2016-01-25,2365,2411,2348,2362,474809
2016-01-26,2348,2401,2274,2288,395153
2016-01-27,2328,2408,2244,2245,507780
2016-01-28,2244,2338,2170,2195,323638
2016-01-29,2224,2264,2174,2195,169897
2016-02-01,2274,2287,2187,2238,208960
2016-02-02,2274,2361,2197,2282,406793
2016-02-03,2274,2290,2200,2201,204523
2016-02-04,2194,2247,2170,2191,136189
2016-02-05,2200,2230,2170,2231,137178
2016-02-11,2170,2210,2053,2057,143637
2016-02-12,2007,2023,1859,1914,231338
2016-02-15,1933,2318,1933,2141,510557
2016-02-16,2230,2304,2194,2201,296843
2016-02-17,2200,2217,2097,2161,116364
2016-02-18,2190,2277,2147,2235,134055
2016-02-19,2234,2287,2174,2288,112430
2016-02-22,2338,2365,2274,2305,137450
2016-02-23,2314,2338,2240,2302,131598
2016-02-24,2308,2348,2274,2315,84830
2016-02-25,2338,2361,2277,2288,135658
2016-02-26,2304,2311,2247,2265,76943
2016-02-29,2257,2277,2073,2195,126891
2016-03-02,2204,2240,2164,2208,76327
2016-03-03,2184,2207,2123,2134,107566
2016-03-04,2164,2438,2134,2392,757540
2016-03-07,2425,2562,2405,2476,716824
2016-03-08,2488,2545,2408,2469,289970
2016-03-09,2468,2558,2395,2469,288410
2016-03-10,2468,2548,2458,2533,179919
2016-03-11,2518,2521,2451,2476,72604
2016-03-14,2475,2495,2388,2408,84125
2016-03-15,2425,2448,2375,2408,58680
2016-03-16,2461,2615,2428,2526,318188
2016-03-17,2538,2592,2481,2523,147412
2016-03-18,2672,2809,2595,2596,451575
2016-03-21,2625,2646,2565,2603,155074
2016-03-22,2608,2608,2518,2563,99508
2016-03-23,2541,2595,2525,2576,93776
2016-03-24,2595,2595,2475,2509,75882
2016-03-25,2508,2608,2475,2603,112483
2016-03-28,2602,2682,2575,2659,132073
