날짜,시가,고가,저가,종가,거래량
2017-10-26,25000,32500,25000,32500,4407441
2017-10-27,36700,37400,25450,26700,3186825
2017-10-30,25950,26200,22500,22850,892610
2017-10-31,22800,23950,21550,22150,695214
2017-11-01,22800,22800,21350,21900,455201
2017-11-02,21900,22650,21750,22000,277220
2017-11-03,21900,22150,20600,20800,309904
2017-11-06,20450,20600,19750,20100,219165
2017-11-07,20250,20600,20050,20150,139084
2017-11-08,20300,25200,20300,23350,2060858
2017-11-09,22750,23100,22200,22950,379861
2017-11-10,23100,23600,22350,22700,307940
2017-11-13,22700,22800,21550,21850,226412
2017-11-14,22000,22150,21000,21350,163601
2017-11-15,21550,21850,20200,20400,204807
2017-11-16,20400,21950,20400,21050,273359
2017-11-17,21100,25100,21100,22200,1695494
2017-11-20,22350,23100,22000,22500,280375
2017-11-21,22250,22400,21250,21250,247505
2017-11-22,21400,22200,20700,22100,191123
2017-11-23,22750,26650,22500,23700,2732841
2017-11-24,23850,25200,23350,23700,642588
2017-11-27,23700,24800,23550,24800,295401
2017-11-28,25450,25500,23450,23450,372433
2017-11-29,23400,23650,22650,23050,171294
2017-11-30,23100,23700,22100,22350,175032
2017-12-01,22000,22700,22000,22500,131257
2017-12-04,22750,22750,21150,21400,140786
2017-12-05,21250,21850,21000,21350,93804
2017-12-06,21550,22350,21300,22000,157553
2017-12-07,21800,22200,20950,20950,122193
2017-12-08,21000,21300,20000,20250,120989
2017-12-11,20350,20700,19550,19950,81551
2017-12-12,19950,20600,19750,20100,73118
2017-12-13,20150,20500,19850,20250,64079
2017-12-14,20350,20450,19900,20000,59224
2017-12-15,20000,20100,19500,19550,81127
2017-12-18,19550,19700,18600,18600,168754
2017-12-19,18750,18750,17550,18250,180271
2017-12-20,18500,18500,17700,17700,62455
2017-12-21,17500,17650,16950,16950,80505
2017-12-22,16950,17350,16600,17050,58445
2017-12-26,17100,17300,16750,16850,40097
2017-12-27,17100,17750,16850,17700,50694
2017-12-28,17500,18000,17500,17800,43436
2018-01-02,18100,18100,17800,18000,41001
2018-01-03,18000,18600,17800,18450,88607
2018-01-04,18700,18700,17850,17950,46073
2018-01-05,17800,18350,17700,18350,52610
2018-01-08,18300,18450,18000,18250,38091
2018-01-09,18050,18650,17950,18350,58120
2018-01-10,18450,19050,18250,18500,100980
2018-01-11,18500,19000,18500,18900,80451
2018-01-12,18700,19250,18400,18400,71291
2018-01-15,18350,18350,17450,17550,65613
2018-01-16,17850,18000,17500,17700,47020
2018-01-17,17600,18200,17600,17750,53644
2018-01-18,18300,18450,17900,18050,41982
2018-01-19,18000,18450,18000,18350,45362
2018-01-22,18400,18550,18050,18250,26779
2018-01-23,18300,18950,18300,18950,84014
2018-01-24,19250,19450,18800,18900,69582
2018-01-25,19150,19400,18750,19400,66143
2018-01-26,19600,19700,19350,19350,65285
2018-01-29,19350,19600,19000,19200,37093
2018-01-30,19300,19350,18600,18750,67012
2018-01-31,18750,18750,18150,18600,44251
2018-02-01,18650,18850,18450,18700,44586
2018-02-02,18750,19050,18050,18050,68670
2018-02-05,17600,18000,17200,17500,49481
2018-02-06,16900,17050,16200,16900,82791
2018-02-07,17300,17550,16950,17000,31111
2018-02-08,17200,17200,16850,17150,21707
2018-02-09,16500,16900,16500,16800,21808
2018-02-12,17100,17100,16600,16650,20433
