날짜,시가,고가,저가,종가,거래량
2018-07-20,3296,3362,3208,3267,1429178
2018-07-23,3267,3369,3252,3311,118176
2018-07-24,3274,3340,3274,3318,22317
2018-07-25,3311,3391,3311,3340,44592
2018-07-26,3362,3384,3325,3355,22659
2018-07-27,3384,3398,3355,3370,19682
2018-07-30,3398,3413,3369,3399,20030
2018-07-31,3428,3428,3377,3421,2691
2018-08-01,3428,3428,3347,3399,12325
2018-08-02,3398,3398,3362,3399,16343
2018-08-03,3406,3420,3369,3377,4464
2018-08-06,3355,3435,3355,3399,3123
2018-08-07,3398,3464,3369,3443,22056
2018-08-08,3457,3457,3369,3436,11205
2018-08-09,3435,3435,3384,3421,1070
2018-08-10,3384,3435,3377,3428,9063
2018-08-13,3428,3428,3340,3340,19468
2018-08-14,3420,3435,3347,3362,13773
2018-08-16,3340,3406,3340,3399,4634
2018-08-17,3413,3413,3362,3399,1107
2018-08-20,3355,3398,3355,3399,225
2018-08-21,3413,3582,3369,3384,68983
2018-08-22,3398,3398,3347,3384,21690
2018-08-23,3362,3486,3362,3421,69087
2018-08-24,3420,3508,3384,3443,36226
2018-08-27,3472,3662,3413,3487,282912
2018-08-28,3501,3560,3464,3487,73637
2018-08-29,3560,4043,3472,3824,3736225
2018-08-30,3757,3779,3626,3714,643524
2018-08-31,3691,3794,3640,3670,368709
2018-09-03,3633,4768,3596,4542,5781855
2018-09-04,4431,5039,4241,4395,3460967
2018-09-05,4541,4754,4314,4476,1467715
2018-09-06,4424,4527,4278,4359,561317
2018-09-07,4248,4278,4028,4110,439605
2018-09-10,4050,4292,3919,4263,379841
2018-09-11,4248,4248,4050,4066,159037
2018-09-12,4065,4153,3941,3941,171071
2018-09-13,3882,4072,3882,3941,54770
2018-09-14,3911,3970,3831,3831,87360
2018-09-17,3853,3882,3721,3758,102451
2018-09-18,3787,3838,3735,3773,62196
2018-09-19,3721,3831,3596,3663,170713
2018-09-20,3691,3728,3662,3685,62682
2018-09-21,3706,3860,3706,3758,73265
2018-09-27,3757,4278,3757,3882,783157
2018-09-28,3882,4014,3823,4000,94770
2018-10-01,3999,4087,3904,3970,51164
2018-10-02,3970,3999,3853,3853,76805
2018-10-04,3948,3948,3779,3802,21902
2018-10-05,3757,3875,3750,3809,14754
2018-10-08,3933,3933,3765,3802,12763
2018-10-10,3801,3838,3464,3472,286080
2018-10-11,3589,3589,3406,3516,82822
2018-10-12,3713,3713,3450,3619,11724
2018-10-15,3662,3662,3530,3560,17723
2018-10-16,3560,3670,3442,3567,37536
2018-10-17,3604,3604,3501,3502,15132
2018-10-18,3662,3662,3516,3560,36796
2018-10-19,3516,3604,3516,3545,11733
2018-10-22,3545,3604,3516,3597,13807
2018-10-23,3640,3640,3530,3531,26405
2018-10-24,3501,3633,3501,3531,16919
2018-10-25,3457,3530,3406,3450,72674
2018-10-26,3457,3457,3377,3392,21497
2018-10-29,3398,3479,3362,3370,61512
2018-10-30,3347,3933,3347,3428,1141507
2018-10-31,3479,3479,3398,3428,34398
2018-11-01,3428,3626,3420,3428,82103
2018-11-02,3442,3662,3428,3531,46823
2018-11-05,3516,3618,3479,3619,4411
2018-11-06,3618,3706,3545,3685,14299
