날짜,시가,고가,저가,종가,거래량
2017-09-29,2353,2421,2336,2354,866000
2017-10-10,2359,3044,2359,2405,6185504
2017-10-11,2432,2472,2399,2410,648448
2017-10-12,2432,2438,2393,2399,304886
2017-10-13,2399,2614,2399,2422,618696
2017-10-16,2421,2631,2393,2569,849269
2017-10-17,2659,2766,2449,2490,714106
2017-10-18,2489,2648,2455,2473,625510
2017-10-19,2489,2823,2472,2597,2281443
2017-10-20,2693,2800,2506,2535,850692
2017-10-23,2546,2568,2500,2569,187044
2017-10-24,2534,2563,2478,2478,174079
2017-10-25,2489,2563,2438,2541,326137
2017-10-26,2540,2580,2495,2541,177832
2017-10-27,2551,2551,2495,2512,127174
2017-10-30,2506,2534,2489,2512,60229
2017-10-31,2495,2529,2472,2490,96065
2017-11-01,2478,2529,2466,2518,69104
2017-11-02,2523,2591,2506,2529,128447
2017-11-03,2529,2783,2517,2563,1017817
2017-11-06,2602,3010,2568,2693,3585274
2017-11-07,2693,2749,2619,2637,591606
2017-11-08,2625,2670,2591,2642,359740
2017-11-09,2795,2840,2636,2671,527716
2017-11-10,2670,2670,2568,2569,200145
2017-11-13,2574,2614,2523,2563,103677
2017-11-14,2563,2585,2540,2552,51467
2017-11-15,2563,2580,2483,2490,193714
2017-11-16,2500,2534,2483,2501,61679
2017-11-17,2506,2517,2472,2501,71575
2017-11-20,2495,2534,2472,2518,52475
2017-11-21,2506,2546,2455,2456,119201
2017-11-22,2466,2619,2455,2569,271532
2017-11-23,2591,2591,2512,2574,78799
2017-11-24,2580,2608,2506,2546,81676
2017-11-27,2597,2631,2517,2580,109573
2017-11-28,2546,2614,2523,2557,97511
2017-11-29,2580,2585,2517,2541,56519
2017-11-30,2517,2574,2512,2563,57492
2017-12-01,2574,2574,2512,2529,46218
2017-12-04,2529,2529,2483,2490,34667
2017-12-05,2478,2517,2472,2507,23224
2017-12-06,2506,2585,2489,2563,82338
2017-12-07,2597,2597,2517,2546,20894
2017-12-08,2523,2574,2500,2574,67104
2017-12-11,2557,2648,2523,2648,76871
2017-12-12,2659,2676,2568,2620,70014
2017-12-13,2653,2653,2540,2569,56526
2017-12-14,2546,2580,2529,2569,46552
2017-12-15,2568,2585,2523,2524,24865
2017-12-18,2523,2551,2461,2495,57977
2017-12-19,2512,2517,2449,2478,27083
2017-12-20,2500,2506,2455,2473,19622
2017-12-21,2489,2489,2387,2416,111960
2017-12-22,2438,2472,2416,2467,24417
2017-12-26,2438,2461,2393,2456,25132
2017-12-27,2444,2472,2421,2467,10116
2017-12-28,2438,2512,2438,2478,20831
2018-01-02,2489,2489,2455,2478,36507
2018-01-03,2506,2512,2449,2490,48488
2018-01-04,2483,2500,2449,2473,30192
2018-01-05,2483,2483,2455,2456,9404
2018-01-08,2449,2506,2444,2495,20706
2018-01-09,2489,2506,2466,2495,17854
2018-01-10,2472,2506,2472,2495,7192
2018-01-11,2478,2506,2472,2501,7929
2018-01-12,2478,2546,2478,2524,26133
2018-01-15,2495,2540,2478,2478,14554
2018-01-16,2478,2517,2466,2518,17132
2018-01-17,2506,2523,2489,2512,33136
2018-01-18,2506,2523,2495,2512,10900
2018-01-19,2500,2529,2495,2524,15161
2018-01-22,2506,2534,2500,2501,34088
2018-01-23,2506,2563,2506,2552,71814
2018-01-24,2659,2732,2574,2608,311840
2018-01-25,2597,2800,2574,2699,655916
2018-01-26,2693,2744,2625,2705,95104
2018-01-29,2738,2976,2670,2937,325455
2018-01-30,3055,3270,2749,2767,687908
2018-01-31,2766,2846,2715,2818,84511
2018-02-01,2829,2896,2772,2795,44863
